French,English
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
laisser,let
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
compris,understood
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
perdu,lost
côté,side
vieux,old
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
venez,come
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
donne,given
fin,end
chérie,sweetheart
gros,large
aura,will have
jouer,to play
